layer,ProtoAcc_EN,ConsistentWithFinal_EN,MeanLogP_margin_EN,Entropy_lang_EN,Silhouette_lang_EN,BCSS_WCSS_lang_EN,ExplainedVar_PC1_EN,ExplainedVar_PC2_EN
0,0.26,0.09222222222222222,-0.005083141326904297,1.3862829208374023,0.1104579848965421,10.404315749914426,0.4356255071339786,0.07331072097174539
1,0.2,0.6966666666666667,-0.0059475856357150605,1.3862833168771531,0.08358132719664423,5.694036311482903,0.3726133344870844,0.09419410842897566
2,0.24444444444444444,0.20666666666666667,-0.002046084933810764,1.3862928028901418,-0.07697360938938322,0.7023746232017682,0.8408349921553354,0.03204517363882471
3,0.25,0.12333333333333334,-0.01306118435329861,1.386232407093048,-0.06405685357193469,0.7798758059066437,0.7241509597329387,0.04453852422177533
4,0.25,0.12222222222222222,-0.01584203084309896,1.3862132370471953,-0.04077242520148573,0.8818349513038106,0.5175421518065509,0.05160107333580748
5,0.2,0.6966666666666667,-0.03406699856122335,1.385892818768819,-0.031983830587810756,0.9798754785803141,0.3905089130794532,0.053838337574712083
6,0.2,0.6966666666666667,-0.04184927490022448,1.385753505759769,-0.02234196955240704,1.1161394830235782,0.33074264324885977,0.056035437262202635
7,0.20333333333333334,0.6855555555555556,-0.025113050672743057,1.386091619067722,-0.023066939686530858,1.1576966516264553,0.29048776588402914,0.058301170150961416
8,0.25,0.12222222222222222,-0.028969828287760416,1.3859610010517969,-0.029507600854430365,1.15792652566238,0.2636124459555518,0.05904448975607197
9,0.25,0.12222222222222222,-0.05774359809027778,1.3848271258672078,-0.028879083888235218,1.0956765221492464,0.23755559380955618,0.06075550610517256
10,0.25,0.12222222222222222,-0.03585788302951389,1.3858447852399614,-0.023145105265536835,1.2421399694614712,0.2343545834314035,0.06066584606124394
11,0.19333333333333333,0.43333333333333335,-0.03373284233940972,1.3858574039406246,-0.026431079274563615,1.2369967844007939,0.2322746381235502,0.061332970810702034
12,0.25,0.12222222222222222,-0.04543665568033854,1.3855632981989119,-0.02204457290611775,1.254281275157234,0.23757225329013046,0.06785395160551193
13,0.19333333333333333,0.6744444444444444,-0.037600474887424046,1.3858309911357032,-0.026569909750097327,1.197611089389876,0.22977637476635152,0.07355759381385271
14,0.25222222222222224,0.24555555555555555,-0.039720255533854165,1.385565399063958,-0.030174650509484546,1.0806988725578888,0.19152284956873097,0.06431391796209802
15,0.2833333333333333,0.3522222222222222,-0.028431294759114583,1.3859271603160435,-0.020310605877405297,1.3857244214250042,0.19796905030938725,0.06161001979223146
16,0.2311111111111111,0.5944444444444444,-0.03800669352213542,1.385616087516149,-0.026972109939870103,1.343347464349927,0.1708101766624806,0.05577369158926588
17,0.2588888888888889,0.5955555555555555,-0.037957315312491524,1.3854673290252686,0.01865368606259115,2.944103863632373,0.1681606806311448,0.05535040546162122
18,0.4777777777777778,0.4577777777777778,-0.003229106002383762,1.3847553502188787,0.06498180134238232,4.394265362609079,0.14826675936703715,0.06308116373833543
19,0.49444444444444446,0.7877777777777778,0.011397652626037598,1.3847020710839166,0.08098105748836494,4.861000846781056,0.15849315282376394,0.06048813705857327
20,0.48444444444444446,0.8133333333333334,0.0176798771487342,1.3845030290550655,0.04898484173079081,5.300171803569703,0.17203289917155787,0.06304167663173611
21,0.46,0.82,0.006247939003838433,1.3838733335336049,0.11594633983762245,5.631743846020177,0.1547558315304604,0.10485469813475831
22,0.42444444444444446,0.8044444444444444,-0.011765685478846231,1.3825628432962629,0.08382709046530004,4.811355716067517,0.1409474361419341,0.08129217836787203
23,0.48,0.8266666666666667,0.00980785157945421,1.3752348354127673,0.0829543165668248,4.5988261305486,0.1379789267686079,0.07630305010702429
24,0.49777777777777776,0.7111111111111111,0.030725537207391528,1.3714238798618317,0.07407167913817281,4.431967583596313,0.14163963641212055,0.06882426427229296
25,0.5177777777777778,0.6088888888888889,0.05197469605339898,1.3687054495016733,0.04060806314715525,5.340294998649318,0.14152843358103487,0.08073944080136683
26,0.5466666666666666,0.5588888888888889,0.08763669848442078,1.3641105163097382,0.04162936787214645,5.1756656216541925,0.141697567475459,0.07656870738473487
27,0.54,0.5366666666666666,0.10270459989706675,1.3570043339994218,0.08735648376292839,5.663319957326808,0.1545612710575464,0.07763193257678114
28,0.5266666666666666,0.5733333333333334,0.09713321036762661,1.3482201078202989,0.1060645032495641,5.792136691425872,0.16170797331031506,0.07644996155515693
29,0.53,0.6988888888888889,0.11553829179869758,1.3308954426977369,0.11449883205862432,5.709074453660712,0.1652883851788653,0.07078005343962372
30,0.4988888888888889,0.82,0.08383505490091112,1.313591683242056,0.1537564669311506,5.784892830588831,0.17456306393018098,0.06565991200374056
31,0.45666666666666667,0.9511111111111111,-0.09201164967483945,1.2255710489220089,0.1740632990821827,7.157666063865389,0.18655325161259706,0.07439485025478397
32,0.44333333333333336,1.0,-0.47223958286974166,0.6327677481000622,0.14721264932388123,8.704443802760732,0.13818869413342336,0.08636114178538623
