layer,pc1,pc2,dialect,correct_final
0,-0.019466200806872537,0.0098099499043853,eng_Latn,0
0,-0.018736182799584358,0.008992212281365037,eng_Latn,1
0,-0.019394607860658747,0.00990570483677932,eng_Latn,0
0,-0.01886896673020038,0.007609859310177222,eng_Latn,0
0,-0.017125764684585043,0.009844173417665227,eng_Latn,1
0,-0.0179006197798951,0.008247475168032719,eng_Latn,1
0,-0.019346420377957804,0.009449213580754203,eng_Latn,1
0,-0.018738491179868283,0.009208655365195927,eng_Latn,0
0,-0.018533227544854588,0.010020108448951936,eng_Latn,0
0,-0.01637991647592779,0.007225946112897561,eng_Latn,0
0,-0.019158981398688886,0.010945715528378705,eng_Latn,0
0,-0.01823038980814974,0.008656964452399234,eng_Latn,1
0,-0.019047796200161435,0.008062627782407294,eng_Latn,1
0,-0.019480501848727915,0.009064288035051578,eng_Latn,0
0,-0.018028163899227147,0.009111676864278306,eng_Latn,1
0,-0.018653759054814416,0.009907466984267749,eng_Latn,0
0,-0.014828537628081197,0.006664597014407431,eng_Latn,1
0,-0.015771639402644096,0.006715974940020725,eng_Latn,1
0,-0.010010787212881796,0.0033720198286364984,eng_Latn,0
0,-0.020472034851105436,0.01050591993734056,eng_Latn,1
0,-0.01748803870735498,0.009121609381111843,eng_Latn,1
0,-0.017178005190324086,0.008417946155069056,eng_Latn,1
0,-0.013217149502644545,0.007920500500860163,eng_Latn,1
0,-0.01835319400025765,0.010413327054336648,eng_Latn,1
0,-0.018885039592978617,0.009522378426044064,eng_Latn,1
0,-0.01597603533813744,0.0065946624727786585,eng_Latn,1
0,-0.018452651198168035,0.008698674614416797,eng_Latn,0
0,-0.0159247225217459,0.008350015188724804,eng_Latn,0
0,-0.018709394711127838,0.009175638388489428,eng_Latn,0
0,-0.017460284977033096,0.009502458972393449,eng_Latn,0
0,-0.015854909210099574,0.008106487262150302,eng_Latn,0
0,-0.017925659805707834,0.00918198549213445,eng_Latn,1
0,-0.01459824616324206,0.006462660073732116,eng_Latn,0
0,-0.014406202007328919,0.006267985927263051,eng_Latn,1
0,-0.01572515354125554,0.006122700884738507,eng_Latn,0
0,-0.012139772736922462,0.0029353332430835594,eng_Latn,0
0,-0.016808264423799874,0.009022707703170475,eng_Latn,1
0,-0.01691458611646013,0.0073847026523659815,eng_Latn,0
0,-0.017226411079919006,0.009404780806406991,eng_Latn,1
0,-0.01897832804395893,0.010021167011425143,eng_Latn,1
0,-0.01823156640032394,0.007835477777271994,eng_Latn,1
0,-0.016813482753897508,0.007190505879209622,eng_Latn,0
0,-0.017019639884428867,0.007532445512291616,eng_Latn,1
0,-0.01818347931354479,0.009066351012256564,eng_Latn,1
0,-0.013690528314251247,0.00503905604433907,eng_Latn,1
0,-0.015041012957563238,0.00836872509043127,eng_Latn,1
0,-0.01931042539118093,0.010000297439706905,eng_Latn,1
0,-0.015714105485909798,0.008744684988782846,eng_Latn,0
0,-0.017248558277775123,0.007877171017130383,eng_Latn,1
0,-0.016808310992963985,0.007259976165284076,eng_Latn,0
