layer,dialect,pc1_mean,pc2_mean,count,within_var
0,afr_Latn,-0.02345893040595952,-0.0071358745686216285,100,2.799225589636326e-06
0,ben_Beng,0.13782991071587897,-0.023485481808182235,100,7.41426745724e-05
0,eng_Latn,-0.03248446549465516,-0.011329380043488203,100,2.4391375700016506e-06
0,fra_Latn,-0.025110767547592183,-0.005944284940403939,100,3.3681473566997935e-06
0,hin_Deva,0.02448207790525331,0.07780670137599052,100,0.00011351449361728719
0,spa_Latn,-0.026577234992353694,-0.00548019631105823,100,2.669195932964995e-06
0,swh_Latn,-0.02226709635560666,-0.00889366749348406,100,1.9291965950266084e-06
0,urd_Latn,-0.022618557135458076,-0.008363605491302743,100,2.3419594255975033e-06
0,yor_Latn,-0.009794936689507011,-0.007174210719449476,100,1.653650185974142e-05
1,afr_Latn,-0.04548846946265115,-0.010559193396595258,100,0.00018127642263922677
1,ben_Beng,0.23136088562648496,-0.02016421223171922,100,0.0003055681217773459
1,eng_Latn,-0.09605049136557454,-0.07925173837378338,100,0.0001389116683264308
1,fra_Latn,-0.04696696847112662,-0.06359258659114876,100,0.00020660082146833222
1,hin_Deva,0.07699602827963509,-0.04299639100440533,100,0.00031747979969475585
1,spa_Latn,-0.05509284108229307,-0.058450588399125133,100,0.00018638797807961544
1,swh_Latn,-0.04100432371009245,0.11159386893625987,100,0.0008020148539280279
1,urd_Latn,-0.03947308049961968,0.09443066256501487,100,0.0006675670306879904
1,yor_Latn,0.015719260685237536,0.0689901784955023,100,0.0005685024126846456
2,afr_Latn,0.14261187899991362,-0.06054329769531158,100,0.04842493373488429
2,ben_Beng,-0.7425730294408271,-0.14279516081601643,100,0.01781781502800881
2,eng_Latn,0.5853574079203733,-0.05517952925613654,100,0.050602430645692344
2,fra_Latn,0.19067947081083925,-0.06862287929760694,100,0.04837984454737306
2,hin_Deva,-0.1905155454599472,-0.06714719679143888,100,0.038377328044435714
2,spa_Latn,0.22873358273748018,-0.05810272719064751,100,0.047463161524301044
2,swh_Latn,0.021566211400948086,0.1814124978589927,100,0.04844522738698971
2,urd_Latn,-0.04004300932857657,0.13050199199344245,100,0.04753989101759645
2,yor_Latn,-0.19581696764020343,0.14047630119472265,100,0.04429855537187427
3,afr_Latn,0.15326436356957227,0.03924505737136133,100,0.04793134938499137
3,ben_Beng,-0.8058832654917668,0.17721683467522412,100,0.01901141111056869
3,eng_Latn,0.6205352288368186,0.08002891741310691,100,0.04823719229772276
3,fra_Latn,0.21366993550159427,0.09989112824582724,100,0.04739257018289093
