layer,dialect,pc1_mean,pc2_mean,count,within_var
0,afr_Latn,-0.020774364169039154,-0.006411259149458612,100,2.059842228995664e-06
0,ben_Beng,0.12519690123789146,-0.017169091145802864,100,6.344646748966964e-05
0,eng_Latn,-0.028763577418635725,-0.009312264304045404,100,4.184193758063801e-06
0,fra_Latn,-0.022078820673247034,-0.0053461077089417205,100,2.5628665432269734e-06
0,hin_Deva,0.017403939374459474,0.06501436894764873,100,7.43234218165963e-05
0,spa_Latn,-0.02317638322361269,-0.005115817374435822,100,2.4782176573277122e-06
0,swh_Latn,-0.019276996345028694,-0.007833959247315314,100,1.3884189192322385e-06
0,urd_Latn,-0.019765364072053298,-0.007422738810190775,100,1.609327313252239e-06
0,yor_Latn,-0.0087653347107344,-0.006403131207458227,100,1.1615437068495557e-05
1,afr_Latn,-0.04075955289530766,-0.00861800144587741,100,0.00011191366895103212
1,ben_Beng,0.2132768643703237,-0.014787651073809421,100,0.0002512107551986817
1,eng_Latn,-0.07871287247656748,-0.06486385244845741,100,0.00020491773940210166
1,fra_Latn,-0.04233822508236031,-0.049802682884632736,100,0.000195068416949145
1,hin_Deva,0.05896110684367231,-0.03732164330463632,100,0.0002004174704425802
1,spa_Latn,-0.04893428967310795,-0.046012520845924804,100,0.00019682572028028697
1,swh_Latn,-0.03579603640062633,0.0852310917000283,100,0.0004020029569336324
1,urd_Latn,-0.03583953513842705,0.07309466147873671,100,0.0003510148471864845
1,yor_Latn,0.01014254045240084,0.06308059882457315,100,0.0003644937091034262
2,afr_Latn,0.10184079418442236,-0.04862962716404566,100,0.03771209238000889
2,ben_Beng,-0.546202796620455,-0.13213355715258543,100,0.014433857915026155
2,eng_Latn,0.3680059792340014,-0.04336735706067778,100,0.04750245545453359
2,fra_Latn,0.13647217001294673,-0.04870232461700513,100,0.03899157265251977
2,hin_Deva,-0.11665052146392,-0.052643543060415465,100,0.029244090381705817
2,spa_Latn,0.16129746608992487,-0.03923164887015118,100,0.038873970926881204
2,swh_Latn,0.027535403341395183,0.14438902871369094,100,0.03683664356985868
2,urd_Latn,-0.011794213220619012,0.10364928909459335,100,0.03580864587311929
2,yor_Latn,-0.12050428155769621,0.11666974011659643,100,0.03199267121354821
3,afr_Latn,0.11265998159587126,0.03149567391602918,100,0.03598414129743728
3,ben_Beng,-0.612615854114173,0.1450868230669892,100,0.015072083096435323
3,eng_Latn,0.4001970300468283,0.08661168647388873,100,0.04428021331257691
3,fra_Latn,0.1586715086883034,0.08028254655275965,100,0.036860534042808556
3,hin_Deva,-0.12304430110381016,0.07757475068320507,100,0.028651013737687702
3,spa_Latn,0.184308573835485,0.07453624837269136,100,0.03648477667599348
3,swh_Latn,0.0260421311950308,-0.15751338700778938,100,0.035122618327593946
3,urd_Latn,-0.014049529011565531,-0.12763637302926484,100,0.03457644018727022
3,yor_Latn,-0.13216954113197,-0.2104379690285091,100,0.031834422051017566
4,afr_Latn,0.12656466605671246,0.03995204774160637,100,0.03430655983794592
4,ben_Beng,-0.6843754000413104,0.19863420510076987,100,0.015796696142823807
4,eng_Latn,0.466524650328242,0.1219848172344594,100,0.04038807256949782
4,fra_Latn,0.20621975299557962,0.11801900727861081,100,0.03438885578864532
4,hin_Deva,-0.12988356087381242,0.14069778818357315,100,0.02796684354811864
4,spa_Latn,0.23514345883057036,0.11527854040896016,100,0.03374969077907742
4,swh_Latn,-0.0024037969461570855,-0.2546751637748691,100,0.03501921704729604
4,urd_Latn,-0.029791599002091353,-0.11211254372613892,100,0.03387357354343739
4,yor_Latn,-0.18799817134773303,-0.3677786984469719,100,0.034130453823887415
5,afr_Latn,0.14065553172530862,0.0430041173359615,100,0.032259075763131126
5,ben_Beng,-0.8037468986937154,0.23980990738610722,100,0.0178023423375605
5,eng_Latn,0.5205859770296092,0.14844881734798127,100,0.036390113586081484
5,fra_Latn,0.2405603474897008,0.14105084803902498,100,0.03195421299527263
5,hin_Deva,-0.1539192613842982,0.16630914063608915,100,0.027233078085529452
5,spa_Latn,0.27237160795512966,0.13921234834045318,100,0.031088328474594053
5,swh_Latn,0.012929544823413727,-0.24783140192562791,100,0.03291015819636072
5,urd_Latn,-0.041384996946309364,-0.20368350648959552,100,0.0339256607560839
5,yor_Latn,-0.188051851998839,-0.42632027067039374,100,0.03441471305594449
6,afr_Latn,0.17333553979939853,0.06374473614771577,100,0.029530722549331558
6,ben_Beng,-0.9285633672555358,0.2941589827503163,100,0.01983470336264063
6,eng_Latn,0.5641374356466906,0.15466554424347545,100,0.032638030371278076
6,fra_Latn,0.30420634179159495,0.16029490715631753,100,0.028403344047126824
6,hin_Deva,-0.17646620795197673,0.2209959891041458,100,0.02709714753116974
6,spa_Latn,0.33723312763173413,0.1478988336945752,100,0.027497341649372533
6,swh_Latn,0.015369556936114213,-0.2723120956063616,100,0.031104758415664534
6,urd_Latn,-0.07484086252054648,-0.19693032302427413,100,0.03424784612466773
6,yor_Latn,-0.21441156407747314,-0.5725165744659099,100,0.03702907211070538
7,afr_Latn,0.20421981563551703,0.06052215072649589,100,0.030857939014143312
7,ben_Beng,-1.0321825818585597,0.3729777620778659,100,0.023527165825254475
7,eng_Latn,0.6275930471945921,0.17319178396456925,100,0.030907628343076084
7,fra_Latn,0.34682022476897884,0.1927665672237692,100,0.02931783291986243
7,hin_Deva,-0.1913729841521498,0.2526786704456936,100,0.029948325077251193
7,spa_Latn,0.3806504761096764,0.17531269940938699,100,0.028315513039797985
7,swh_Latn,0.0269610497971523,-0.21466620762803945,100,0.03199097858669582
7,urd_Latn,-0.11286109950008225,-0.28568133566303155,100,0.039460407292700984
7,yor_Latn,-0.24982794799512462,-0.7271020905567097,100,0.043098397573269234
8,afr_Latn,0.20868041792355554,0.07493071286295494,100,0.03802660093441551
8,ben_Beng,-1.0872778691327822,0.4044904224742784,100,0.02974283800828727
8,eng_Latn,0.6865071365108311,0.1595316151189574,100,0.03496766370539735
8,fra_Latn,0.3667507901466318,0.2037094802823461,100,0.035968558821355794
8,hin_Deva,-0.18227805861583765,0.255247795971735,100,0.037395157084648564
8,spa_Latn,0.39881685911819376,0.18432867892622926,100,0.03495607738969898
8,swh_Latn,0.009599646924241147,-0.17566094735925636,100,0.03940912189743963
8,urd_Latn,-0.11047912007755815,-0.3214337200839959,100,0.04683306230374079
8,yor_Latn,-0.2903198027972763,-0.7851440381932487,100,0.05302542513803871
9,afr_Latn,0.21680245238399315,0.0619819929777599,100,0.042053510917644
9,ben_Beng,-1.0631455466575321,0.4674081741876014,100,0.03150115212245506
9,eng_Latn,0.7152316003286145,0.13970938406345518,100,0.03943724238995121
9,fra_Latn,0.4076704728833333,0.17450743347637412,100,0.03999490449076223
9,hin_Deva,-0.1607015968540168,0.28215914955599414,100,0.040998232392836446
9,spa_Latn,0.4331046262418677,0.1586700918961679,100,0.03943782374197106
9,swh_Latn,0.007822043765480059,-0.17429928525014943,100,0.043032765421611434
9,urd_Latn,-0.17486461272144072,-0.2870441754044472,100,0.0504486741753796
9,yor_Latn,-0.3819194393702993,-0.8230927655027558,100,0.05885866906530518
10,afr_Latn,0.24546237830840595,0.05943602201760648,100,0.04234982720941565
10,ben_Beng,-1.1898004759355887,0.46036365122689044,100,0.035176179646339706
10,eng_Latn,0.7546261507649282,0.19787375001630925,100,0.03882253120771558
10,fra_Latn,0.45830731250170226,0.19348915063705052,100,0.038661592446431324
10,hin_Deva,-0.2479230032764624,0.3167716255905634,100,0.045097834802160765
10,spa_Latn,0.49076566273696004,0.1801555903304946,100,0.038963697553446135
10,swh_Latn,0.01359647759626979,-0.22645976657640773,100,0.045055087959026546
10,urd_Latn,-0.19612738683250158,-0.28608104884791824,100,0.05440041931558059
10,yor_Latn,-0.3289071158637139,-0.8955489743945878,100,0.0607341293358015
11,afr_Latn,0.26024833791213653,0.06885177827893087,100,0.04258911584034995
11,ben_Beng,-1.2224272499488622,0.4718022642417077,100,0.0369568280957172
11,eng_Latn,0.8110593843972054,0.20824004061402043,100,0.037206318086177484
11,fra_Latn,0.4811766451698405,0.19530310803277698,100,0.03904596212164573
11,hin_Deva,-0.2868024749444093,0.3441746274255547,100,0.04770494100087136
11,spa_Latn,0.5112701844510894,0.17912423657649792,100,0.038209357025765694
11,swh_Latn,0.03639510124165185,-0.24529663813183977,100,0.045174696756198715
11,urd_Latn,-0.2758782446201795,-0.2950076514781006,100,0.059249710674307246
11,yor_Latn,-0.31504168365847246,-0.9271917655595476,100,0.0595526969340958
12,afr_Latn,0.2690311971108891,0.061837037197461864,100,0.03990411309556501
12,ben_Beng,-1.2545157302037788,0.5491211880876569,100,0.03734714177259907
12,eng_Latn,0.8697075732256914,0.1636080392487319,100,0.033334128266897425
12,fra_Latn,0.5251852989936243,0.1975149664143795,100,0.035350036458944065
12,hin_Deva,-0.26092911992430257,0.3568670919085235,100,0.046860955827860123
12,spa_Latn,0.5644407699541198,0.18039894742148216,100,0.03551289158841205
12,swh_Latn,0.010280999318873748,-0.25046386214443617,100,0.04359238749296262
12,urd_Latn,-0.2900706009376366,-0.33587860456851076,100,0.05435453482416726
12,yor_Latn,-0.4331303875374807,-0.9230048035652888,100,0.060923598825035105
13,afr_Latn,0.3043768232695939,0.05317372409307261,100,0.05525836262065639
13,ben_Beng,-1.3551533946257104,0.5868546080372697,100,0.05235283279122977
