layer,pc1,pc2,dialect,correct_final
0,-0.03026262290943341,-0.010634132080309631,eng_Latn,0
0,-0.030256702982238315,-0.010776444524165717,eng_Latn,1
0,-0.031065813012939928,-0.00915856741414247,eng_Latn,0
0,-0.02928516912761675,-0.00945525431673262,eng_Latn,0
0,-0.03206333821404182,-0.012141672649434915,eng_Latn,1
0,-0.032728926953672924,-0.011682925890407557,eng_Latn,0
0,-0.03223138960676415,-0.011841075620342856,eng_Latn,1
0,-0.03356377193550448,-0.011691428801273971,eng_Latn,1
0,-0.033476529241700734,-0.011013541007656204,eng_Latn,1
0,-0.031873548313447624,-0.009795437449075888,eng_Latn,0
0,-0.03242506303266583,-0.011004116035677764,eng_Latn,1
0,-0.033510248456232856,-0.012108231447912312,eng_Latn,1
0,-0.03028448432661878,-0.010698167183088811,eng_Latn,1
0,-0.03068169585843105,-0.011375282738484399,eng_Latn,1
0,-0.03380055835653044,-0.011722872079487962,eng_Latn,1
0,-0.031112960693385285,-0.011663911909190885,eng_Latn,0
0,-0.03261635829352972,-0.010997181345389875,eng_Latn,1
0,-0.03256120616519656,-0.011309652388062362,eng_Latn,0
0,-0.032689440671639564,-0.011218874369958177,eng_Latn,1
0,-0.03288318352070608,-0.011999687221030965,eng_Latn,1
0,-0.031354758291464974,-0.010653565735714288,eng_Latn,0
0,-0.03314134094347871,-0.012095638764939501,eng_Latn,0
0,-0.03362757107697502,-0.01207040118065204,eng_Latn,0
0,-0.03372345899030871,-0.01109468712401706,eng_Latn,1
0,-0.03350335753709893,-0.012032909843036756,eng_Latn,0
0,-0.03326648912610355,-0.011692316555678537,eng_Latn,1
0,-0.03276573001614283,-0.010591623279026234,eng_Latn,0
0,-0.03009196355924824,-0.010004464472515321,eng_Latn,0
0,-0.03271091870092213,-0.011996960984775575,eng_Latn,1
0,-0.03157264105654728,-0.012186414551116713,eng_Latn,1
0,-0.033413288540400425,-0.011395417178515225,eng_Latn,0
0,-0.033325545431088184,-0.011709263992145783,eng_Latn,1
0,-0.034269410737727296,-0.011402309925418396,eng_Latn,1
0,-0.03298581853360808,-0.010399385911096152,eng_Latn,0
0,-0.032973466055717486,-0.012027343057721683,eng_Latn,1
0,-0.03185586419537836,-0.010756222206760438,eng_Latn,0
0,-0.03385469136636449,-0.01158314380528568,eng_Latn,0
0,-0.030614948620723597,-0.01169742931561827,eng_Latn,1
0,-0.03181020825325651,-0.010765505845060898,eng_Latn,1
0,-0.032139736466033485,-0.011522852625023639,eng_Latn,0
0,-0.032210545933318464,-0.009947434315724186,eng_Latn,1
0,-0.032446066149830234,-0.011302516706303244,eng_Latn,1
0,-0.03164876593336322,-0.01082675659870789,eng_Latn,0
0,-0.0341403371559821,-0.012078527390497144,eng_Latn,1
0,-0.03342729939048712,-0.011096190058396831,eng_Latn,0
0,-0.030744780855578847,-0.009945826435130544,eng_Latn,1
0,-0.0349441957433066,-0.011997607800969635,eng_Latn,0
0,-0.03188679844125999,-0.011631300373495985,eng_Latn,0
0,-0.030269445033012817,-0.010715260643474589,eng_Latn,0
0,-0.03180304308638259,-0.011032868308126942,eng_Latn,0
0,-0.03245711371897852,-0.01083314307019899,eng_Latn,1
0,-0.03331906107425086,-0.011251289976593795,eng_Latn,1
0,-0.03186769202683903,-0.010262526568561992,eng_Latn,1
0,-0.03177779161418936,-0.011432297412906797,eng_Latn,0
0,-0.030818715098714203,-0.011136312620580895,eng_Latn,1
0,-0.03271614722351707,-0.011360775144218068,eng_Latn,0
0,-0.033306668083017334,-0.011463976598248504,eng_Latn,0
0,-0.032141858180867684,-0.011117360926350801,eng_Latn,0
