layer,pc1,pc2,dialect,correct_final
0,-0.031000674305780757,-0.010301732312035019,eng_Latn,0
0,-0.030960647130468397,-0.010094507037629492,eng_Latn,1
0,-0.03148176679790505,-0.01021872763381921,eng_Latn,0
0,-0.030733670252163257,-0.00844512799026391,eng_Latn,0
0,-0.028701435309373944,-0.010236000041786559,eng_Latn,1
0,-0.029511832821363625,-0.009340954590204271,eng_Latn,0
0,-0.030989376175784344,-0.009819768748294447,eng_Latn,1
0,-0.030520643746000373,-0.009642192973378408,eng_Latn,0
0,-0.03015983285533302,-0.01052251330386473,eng_Latn,0
0,-0.02797613457261743,-0.008695731872892708,eng_Latn,0
0,-0.03082647609013474,-0.011393614418381133,eng_Latn,0
0,-0.029654007638653973,-0.009244167272670217,eng_Latn,1
0,-0.031088620963120376,-0.009712066559062989,eng_Latn,1
0,-0.031427119260345145,-0.010366764332335757,eng_Latn,0
0,-0.029522288107046272,-0.009932348800403983,eng_Latn,1
0,-0.02981889644579242,-0.010086684952520618,eng_Latn,1
0,-0.02618148841560127,-0.008489158024043892,eng_Latn,1
0,-0.027421842274214403,-0.007584780228807742,eng_Latn,1
0,-0.022676227371751078,-0.008750847242840242,eng_Latn,0
0,-0.032900702023683295,-0.01138690056293141,eng_Latn,1
0,-0.02896478915966093,-0.009842804671921099,eng_Latn,1
0,-0.02844644914797465,-0.008909536830062289,eng_Latn,1
0,-0.025289516950585945,-0.009391147378946597,eng_Latn,1
0,-0.029468882928238096,-0.010449489948521854,eng_Latn,1
0,-0.02974729164101529,-0.009100057473999263,eng_Latn,1
0,-0.02764206858928633,-0.008243846706670733,eng_Latn,1
0,-0.030184939135880016,-0.009896971103155931,eng_Latn,0
0,-0.02703637614515452,-0.00888263372456113,eng_Latn,0
0,-0.030415686073955762,-0.010293990462689426,eng_Latn,0
0,-0.02851337285191354,-0.009510180198186375,eng_Latn,0
0,-0.02721230121310911,-0.009502544233009044,eng_Latn,0
0,-0.0291191800086721,-0.010001512241647116,eng_Latn,1
0,-0.02575371766476755,-0.008396771609628989,eng_Latn,0
0,-0.025781226020163663,-0.008529685946964266,eng_Latn,1
0,-0.027296888474656195,-0.006567239144826307,eng_Latn,0
0,-0.025237653695057507,-0.007179601920126409,eng_Latn,1
0,-0.028059894349806477,-0.010209360329261122,eng_Latn,1
0,-0.028733255476339273,-0.009949690525785102,eng_Latn,0
0,-0.028478043569665663,-0.010026642676729173,eng_Latn,1
0,-0.030195284091736996,-0.00964815177312051,eng_Latn,1
0,-0.029829550167753013,-0.009004292733455722,eng_Latn,1
0,-0.027353286679238146,-0.007048349438255722,eng_Latn,0
0,-0.029211679902080335,-0.009201020234451034,eng_Latn,0
0,-0.02967700839664168,-0.010276424357215456,eng_Latn,1
0,-0.025294654470013528,-0.00837492380778579,eng_Latn,1
0,-0.02645871576068659,-0.009219120057362019,eng_Latn,1
0,-0.03112248866545307,-0.009965880464890544,eng_Latn,1
0,-0.027016416939789314,-0.009784177414443563,eng_Latn,0
0,-0.02829497068609631,-0.00894510591594011,eng_Latn,1
0,-0.028773612845622347,-0.009389623128910916,eng_Latn,0
0,-0.02889377457335444,-0.009322584748605235,eng_Latn,1
0,-0.029762653070692098,-0.010334505757177256,eng_Latn,1
0,-0.026568741076645638,-0.008214591527928522,eng_Latn,0
0,-0.029363897921965434,-0.010275270086109622,eng_Latn,0
0,-0.030264442722033106,-0.010518499911139886,eng_Latn,0
0,-0.03008326439293087,-0.008740590026337817,eng_Latn,1
0,-0.030199147758530755,-0.010077300368718326,eng_Latn,0
0,-0.02952049172590402,-0.009579302786223959,eng_Latn,1
0,-0.02939550205132913,-0.008504256486933504,eng_Latn,0
0,-0.02543754785944081,-0.00777240129662038,eng_Latn,0
0,-0.029084661243390295,-0.010147951935655576,eng_Latn,1
0,-0.027258621976984254,-0.010577925903339048,eng_Latn,0
0,-0.029601405722375365,-0.009032847941423049,eng_Latn,0
0,-0.029987398626192905,-0.009618630086215644,eng_Latn,1
0,-0.031117988843736212,-0.009321573459031193,eng_Latn,1
0,-0.028995815295091543,-0.0077968842098232885,eng_Latn,0
0,-0.029156735391041813,-0.010097289368244182,eng_Latn,1
0,-0.02844030626276998,-0.00879424754169517,eng_Latn,0
0,-0.030722582224443924,-0.009426427574724904,eng_Latn,0
0,-0.026912509515160624,-0.009636285918152864,eng_Latn,1
0,-0.027856882907201754,-0.008776877406829418,eng_Latn,1
0,-0.028067049383048936,-0.00932430186727819,eng_Latn,1
0,-0.027950861292685116,-0.007329155876033948,eng_Latn,1
0,-0.028304657302898238,-0.009268470771126396,eng_Latn,0
0,-0.027634804044860933,-0.008910439603470427,eng_Latn,0
0,-0.030499472348005284,-0.009942666991033721,eng_Latn,1
0,-0.029924930177252118,-0.009096265770957023,eng_Latn,0
0,-0.026770340314174083,-0.00776749284162141,eng_Latn,1
0,-0.03198811084392246,-0.009912997484158238,eng_Latn,0
0,-0.027382293059284628,-0.009708392218893486,eng_Latn,0
0,-0.025220311915256588,-0.008430209525086416,eng_Latn,0
0,-0.02803312109839236,-0.00910846940383087,eng_Latn,0
0,-0.028764117252256888,-0.008740247995992104,eng_Latn,1
0,-0.029463423180119547,-0.009175051595952857,eng_Latn,1
0,-0.02921692883887593,-0.008331141972204819,eng_Latn,1
0,-0.027970364282807497,-0.009594637136587158,eng_Latn,0
0,-0.026218997784574746,-0.008911919875026686,eng_Latn,1
0,-0.029921253206303167,-0.009674104081437703,eng_Latn,1
0,-0.02922972430857647,-0.009534750966254512,eng_Latn,0
0,-0.027889255553632836,-0.00921233200247701,eng_Latn,0
0,-0.02858994087864066,-0.008253164351949869,eng_Latn,1
0,-0.029704145053245673,-0.009192414453788166,eng_Latn,1
0,-0.027697279434164907,-0.008933883271235664,eng_Latn,0
