layer,dialect,ProtoAcc_T_dialect
27,ben_Beng,0.53
27,eng_Latn,0.68
27,fra_Latn,0.68
27,hin_Deva,0.56
27,spa_Latn,0.65
27,swh_Latn,0.53
27,urd_Latn,0.32
27,yor_Latn,0.35
28,afr_Latn,0.56
28,ben_Beng,0.51
28,eng_Latn,0.68
28,fra_Latn,0.66
28,hin_Deva,0.54
28,spa_Latn,0.65
28,swh_Latn,0.48
28,urd_Latn,0.3
28,yor_Latn,0.32
29,afr_Latn,0.58
29,ben_Beng,0.57
29,eng_Latn,0.67
29,fra_Latn,0.64
29,hin_Deva,0.64
29,spa_Latn,0.69
29,swh_Latn,0.46
29,urd_Latn,0.33
29,yor_Latn,0.26
30,afr_Latn,0.56
30,ben_Beng,0.49
30,eng_Latn,0.59
30,fra_Latn,0.56
30,hin_Deva,0.65
30,spa_Latn,0.6
30,swh_Latn,0.44
30,urd_Latn,0.32
30,yor_Latn,0.26
31,afr_Latn,0.46
31,ben_Beng,0.41
31,eng_Latn,0.54
31,fra_Latn,0.56
31,hin_Deva,0.55
31,spa_Latn,0.57
31,swh_Latn,0.35
31,urd_Latn,0.26
31,yor_Latn,0.22
32,afr_Latn,0.46
32,ben_Beng,0.38
32,eng_Latn,0.53
32,fra_Latn,0.52
32,hin_Deva,0.53
32,spa_Latn,0.54
32,swh_Latn,0.37
32,urd_Latn,0.26
32,yor_Latn,0.22
